On The Road Again|Canned Heat
Where I Wanna Be Boy|Missjones
Big Bruce|Steve Greenberg
You'll Never Walk Alone|Elvis Presley With The Jordanaires
Little Bell|The Dixie Cups
Hold Me|Laura Branigan
Love Is Like An Itching In My Heart|The Supremes
9th Wonder (Slicker This Year)|Digable Planets
Hey  You Love|Mouth & MacNeal
Hard To Say I'm Sorry|Az Yet Featuring Peter Cetera
Too Experienced|Eddie Lovette
It's Time For Love|The Chi-lites
Club Michelle|Eddie Money
A Tear|Gene McDaniels
Do The Bird|Dee Dee Sharp
Jammin'|Teena Marie
Crank It Up (Funk Town) Pt. 1|Peter Brown
The Last Safe Place On Earth|LeRoux
Georgia On My Mind|The Righteous Brothers
Save The Country|Thelma Houston
I Guess I'll Have To Cry  Cry  Cry|James Brown And The Famous Flames
I Who Have Nothing|Liquid Smoke
Dancin' In The Streets|Teri DeSario With K.C.
Real Love|Skyy
One Heart At A Time|Various Artists
Julia|Ramsey Lewis
Love And Loneliness|The Motors
Ooh La La|David Hallyday
Shackin' Up|Barbara Mason
Reelin' And Rockin'|The Dave Clark Five
Saved By Zero|The Fixx
Young School Girl|Fats Domino
My Love|Margie Joseph
Alvin For President|David Seville And The Chipmunks
Yolanda|Reality
I Got A Woman|Rick Nelson
Stag-O-Lee|Wilson Pickett
I Wanna Go Back|Billy Satellite
Cryin'|Aerosmith
La Bamba - Part I|Trini Lopez
For Me|Sergio Mendes & Brasil '66
It's In His Kiss (The Shoop Shoop Song)|Kate Taylor
I Had A Dream|Paul Revere & The Raiders Featuring Mark Lindsay
The Bells|James Brown
My Happiness|Connie Francis
One Man Band|Leo Sayer
The Heart Is Not So Smart|El DeBarge With DeBarge
String Along|Rick Nelson
(You've Got) Personality And Chantilly Lace|Mitch Ryder
Touch Me Tonight|Shooting Star
Why|Carly Simon
A Song I'd Like To Sing|Kris Kristofferson & Rita Coolidge
Solitude|Edwin McCain
Son Of My Father|Giorgio
My Main Man|The Staple Singers
So You Ran|Orion The Hunter
In It For Love|England Dan & John Ford Coley
I Cheat The Hangman|The Doobie Brothers
Only You (And You Alone)|Bobby Hatfield
Hung Up In Your Eyes|Brian Hyland
Tracks Of My Tears|Linda Ronstadt
I Want You To Meet My Baby|Eydie Gorme
Pure|Lightning Seeds
Everyone Was There|Bob Kayli
Magic Moon (Clair De Lune)|The Rays
Don't Try To Fight It  Baby|Eydie Gorme
Another Heartache|Rod Stewart
Case Of You|Frank Stallone
The Last Game Of The Season (A Blind Man In The Bleachers)|David Geddes
Take A Hand|Rick Springfield
Daddy's Home|Cliff Richard
Killer|Seal
I Don't Wanna Fight (From What's Love Got To Do With It)|Tina Turner
Get Into Something|The Isley Brothers
One On One|Daryl Hall John Oates
The Way You Do The Things You Do|Rita Coolidge
Rappin' Rodney|Rodney Dangerfield
Don't Make Me Do It|Patrick Simmons
Say Man|Bo Diddley
Muskrat Ramble|Freddy Cannon
Out Of Mind Out Of Sight|Models
Hey  Little Girl|Foster Sylvers
The Road We Didn't Take|Freda Payne
Honey Hush|Joe Turner
You Can Call Me Blue|Michael Johnson
You Can't Be A Beacon (if Your Light Don't Shine)|Donna Fargo
A Mama And A Papa|Ray Stevens
Everybody Ought To Be In Love|Paul Anka
Son Of A Lovin' Man|Buchanan Brothers
No One|Ray Charles
Mercy  Mercy|Don Covay & The Goodtimers
Love Takes Time|Orleans
Crazy Arms|Bob Beckham
Baby  I Love You|The Ronettes
Montego Bay|Amazulu
Summer Rain|Belinda Carlisle
Look At That Cadillac|Stray Cats
Relax & Party|Ivory
Mint Car|The Cure
Help Me Girl|Eric Burdon & The Animals
Aw Shucks  Hush Your Mouth|Jimmy Reed
Young Blood|Bruce Willis
Ain't No Mountain High Enough|Marvin Gaye & Tammi Terrell
Why Is The Wine Sweeter (On The Other Side)|Eddie Floyd
Outside My Window|Stevie Wonder
Every Beat Of My Heart|James Brown And The Famous Flames
Can't Cry Anymore|Sheryl Crow
Come Give Your Love To Me|Janet Jackson
You Got Soul|Johnny Nash
Cool Magic|The Steve Miller Band
Sing Me Away|Night Ranger
I've Been Loved Before|Shirley and Lee
Bucket T|Ronny And The Daytonas
Dirty Man|Laura Lee
Why Do Lovers Break Each Other's Heart?|Bob B. Soxx And The Blue Jeans
I Can't Make It Alone|Lou Rawls
Comin' On Too Strong|Wayne Newton
This Is My Prayer|The Ray Charles Singers
Pictures Of You|The Cure
It's A Laugh|Daryl Hall John Oates
Love Me As Though There Were No Tomorrow|Sonny Knight
Never My Love|The Sandpebbles
Shake And Dance With Me|ConFunkShun
The Lonely Surfer|Jack Nitzsche
Tumbling Dice|Linda Ronstadt
I Second That Emotion|Smokey Robinson & The Miracles
River's Invitation|Percy Mayfield
Wednesday|The Royal Guardsmen
I Surrender|Arlan Day
Come Softly To Me|The New Seekers
Let's Put It All Together|The Stylistics
There's A Chance We Can Make It|Blues Magoos
Wigwam|Bob Dylan
Hollywood|Connie Francis
Radio Romance|Tiffany
A Lover's Concerto|The Toys
Candy|The Astors
Do It To Me|Lionel Richie
The Men In My Little Girl's Life|Mike Douglas
Welcome To The Pleasure Dome|Frankie Goes To Hollywood
Hit Me Off|New Edition
It's A Man Down There|G.L. Crockett
Ya Ya|Lee Dorsey
I'm Your Boogie Man|KC And The Sunshine Band
Shangri-La|The Lettermen
It's A Hard Life|Queen
I Wonder What She's Doing Tonight|Barry & The Tamerlanes
Voice On The Radio|Conductor
Hold Me|Menudo
American Girls|Rick Springfield
Loving Arms|Dobie Gray
High School Nights|Dave Edmunds
New Mexican Rose|The 4 Seasons
Big Love|Joe Henderson
Dancin' Shoes|Nigel Olsson
Live And Let Die|Wings
Human Touch|Rick Springfield
I Wanna Go Back|Eddie Money
Da'Butt (From The School Daze Soundtrack)|E.U.
That Didn't Hurt Too Bad|Dr. Hook
Secret|Heart
Worried Guy|Johnny Tillotson
When The Boys Get Together|Joanie Sommers
Breaking Up Is Hard To Do|Lenny Welch
Just A Closer Walk With Thee|Jimmie Rodgers
How Long|Ace
Stop The Wedding|Etta James
I'm Not A Fool Anymore|T.K. Hulin
I Feel Good (I Feel Bad)|The Lewis & Clarke Expedition
Banks Of The Ohio|Olivia Newton-John
The Land Of Milk And Honey|The Vogues
634-5789 (Soulsville  U.S.A.)|Wilson Pickett
Lucky Lips|Cliff Richard
U.S. Of A|Donna Fargo
You're Next|Jimmy Witherspoon
The Men All Pause|Klymaxx
Return Of The Crooklyn Dodgers (From Clockers)|Crooklyn Dodgers '95
Inside Outside|The Cover Girls
It's A Sin To Tell A Lie|Tony Bennett
The Clapping Song (Clap Pat Clap Slap)|Shirley Ellis
What You Got|Duke & The Drivers
The Best Of Everything|Johnny Mathis
Little Bit Of Love|Dwight Twilley
Hully Gully Baby|The Dovells
Ain't That A Shame!|The 4 Seasons
Do You Mind?|Anthony Newley
Driving Wheel|Junior Parker
5-10-15-20 (25-30 Years Of Love)|The Presidents
Teach Me Tonight Cha Cha|The DeCastro Sisters
Hypnotized|Linda Jones
Since I Made You Cry|The Rivieras
Love Is The Sweetest Thing|Saverio Saridis
Love Me Right|Denise LaSalle
Paper Sun|Traffic featuring Stevie Winwood
Now That We Found Love|Third World
You Should Hear How She Talks About You|Melissa Manchester
I Ran (So Far Away)|A Flock Of Seagulls
Attack Of The Name Game|Stacy Lattisaw
All God's Children Got Soul|Dorothy Morrison
Face The Music|RTZ
Torn|Natalie Imbruglia
So Hard|Pet Shop Boys
If I'm A Fool For Loving You|Bobby Wood
Like An Open Door|The Fuzz
Sunshine On My Shoulders|John Denver
Heartache All Over The World|Elton John
Make It Better (Forget About Me)|Tom Petty And The Heartbreakers
Is It Really Over?|Jim Reeves
With All Of My Heart|Brook Benton
An American Dream|The Dirt Band
(You Make Me Feel Like) A Natural Woman|Aretha Franklin
Ol' Man River|Jimmy Smith
Deacon Blues|Steely Dan
Fannie Mae|Buster Brown
Gee|Jan & Dean
The Other Woman|Vicki Lawrence
(Any Way That You Want It) I'll Be There|Starz
When I'm Dead And Gone|McGuinness Flint
Georgy Porgy|Toto
Abra-Ca-Dabra|The De Franco Family
Love Theme From The Sandpiper (The Shadow Of Your Smile)|Tony Bennett
Cherokee|Europe
Sweet Cherry Wine|Tommy James And The Shondells
Hold On I'm Coming|Chuck Jackson & Maxine Brown
Slippin' Away|Jean Shepard
It's A Night For Beautiful Girls|The Fools
Hello Old Friend|Eric Clapton
Mighty Love - Pt. 1|The Spinners
Down The Aisle|Ike Clanton
Green  Green|The New Christy Minstrels
(I Don't Want To Love You But) You Got Me Anyway|Sutherland Brothers And Quiver
Alive Again|Chicago
Reach Out|Merrilee Rush
The More You Live  The More You Love|A Flock Of Seagulls
It's For You|Cilla Black
Theme For Young Lovers|Percy Faith And His Orchestra
In The Time Of Our Lives|Iron Butterfly
Zing! Went The Strings Of My Heart|The Furys
Bongo Stomp|Little Joey And The Flips
Touch And Gone|Gary Wright
Electricland|Bad Company
Lately|Stevie Wonder
Don't Know Much|Bill Medley
Be Young  Be Foolish  Be Happy|The Tams
Getting It On/Ride  Sally  Ride|Dennis Coffey & The Detroit Guitar Band
Should've Never Let You Go|Neil Sedaka & Dara Sedaka
Hearts Of Stone|The Blue Ridge Rangers
Ten To Eight|David Castle
The Straight Life|Bobby Goldsboro
Good Vibrations|Todd Rundgren
Surrender|Elvis Presley With The Jordanaires
Beatnik Fly|Johnny And The Hurricanes
Baby Let's Wait|The Royal Guardsmen
I Knew It All The Time|The Dave Clark Five
Stay/The Load-Out|Jackson Browne
One Boy Too Late|Mike Clifford
Sparkle And Shine|The Clique
Norma Jean Wants To Be A Movie Star|Sundown Company
All I Really Want To Do|The Byrds
Hang On Sloopy|The Lettermen
You're So Easy To Love|Tommy James
Reality|Elusion
I'm Gonna Move To The Outskirts Of Town|Ray Charles
Reverend Mr. Black|The Kingston Trio
Behind Bars|Slick Rick
So Close|Diana Ross
Too Hot|Loverboy
Revolution|The Beatles
Keep It Together|Madonna
Thought I'd Died And Gone To Heaven|Bryan Adams
Pictures Of Lily|The Who
Two Lane Highway|Pure Prairie League
Communication Breakdown|Roy Orbison
Just A Little Bit Of You|Michael Jackson
I Love You 1000 Times|The Platters
How About That|Dee Clark
Shoot Me (With Your Love)|Tasha Thomas
Bend Me  Shape Me|The American Breed
Make It With You|The Whispers
Tennessee Waltz|Bobby Comstock
Things|Anne Murray
Hi-Heel Sneakers|Jose Feliciano
I Got Rhythm|The Happenings
Just Let It Come|Alive 'N Kickin'
Wicked Ruby|Danny Zella and his Zell Rocks
Down 4 Whateva (From A Low Down Dirty Shame)|Nuttin' Nyce
Rock Steady|Bonnie Raitt With Bryan Adams
Travelin' Shoes|Elvin Bishop
Because I Love You|Billy Stewart
Universal Heart-Beat|Juliana Hatfield
Always|Sammy Turner
Buffalo Soldier|Flamingos
Be My Lady|The Meters
Lady Friend|The Byrds
She Didn't Do Magic/I'm The Only One|Lobo
18 Yellow Roses|Bobby Darin
Lonesome Whistle Blues|Freddy King
I Remember You|Frank Ifield
Chain Reaction|Diana Ross
The Worm|Jimmy McGriff
Oh Me Oh My (I'm A Fool For You Baby)|Aretha Franklin
Almost Persuaded|David Houston
Only A Lonely Heart Sees|Felix Cavaliere
Lonely Life|Jackie Wilson
Down On Me|Janis Joplin
Cars With The Boom|L'Trimm
That Old Black Magic|Louis Prima And Keely Smith
My Answer|Jimmy McCracklin
Sweet Memories|Andy Williams
My Little Marine|Jamie Horton
Sudden Stop|Percy Sledge
Sunday Sun|Neil Diamond
Don't Be Afraid Of The Dark|The Robert Cray Band
The Hula Hoop Song|Teresa Brewer
Modern Girl|Sheena Easton
Open The Door To Your Heart|Darrell Banks
Enchanted Island|The Four Lads
Mad About You|Belinda Carlisle
Still Crazy After All These Years|Paul Simon
Gina|Johnny Mathis
There You Are|Sam Salter
Got Me Waiting|Heavy D & The Boyz
Art For Art's Sake|10cc
Hit Me With Your Best Shot|Pat Benatar
Long Long Time|Linda Ronstadt
Selfish One|Jackie Ross
Back On The Street Again|The Sunshine Company
Stay With Me|Frank Sinatra
Let Me Get To Know You|Paul Anka
St. Louis|The Easybeats
Give A Little Bit More|Cliff Richard
Freddie|Charlene
(I'm Watching) Every Little Move You Make|Little Peggy March
In These Changing Times|Four Tops
The Martian Boogie|Brownsville Station
Oh Happy Day|Glen Campbell
I'm Tossin' And Turnin' Again|Bobby Lewis
Elevate My Mind|Stereo MC's
Stop|Howard Tate
Be There (From Beverly Hills Cop II)|The Pointer Sisters
Not Fade Away|Eric Hine
Sunny|Bobby Hebb
War Games|Crosby  Stills & Nash
Somebody|Bryan Adams
Husbands And Wives|Roger Miller
Where Are You Going To My Love|The Brotherhood Of Man
Give Us Your Blessing|Ray Peterson
Mama Used To Say|Junior
Want You For My Girlfriend|4 By Four
The Battle Of Kookamonga|Homer And Jethro
Is It Wrong (For Loving You)|Webb Pierce
(One Of These Days) Sunday's Gonna' Come On Tuesday|The New Establishment
Let True Love Begin|Nat King Cole
Time And The River|Nat King Cole
Shake A Hand|Ruth Brown
Bloat On Featuring the Bloaters|Cheech & Chong
Stand By Me|Maurice White
Just Look What You've Done|Brenda Holloway
There's A Place|The Beatles
Back In Love Again|The Buckinghams
Time And Love|Barbra Streisand
Patty Baby|Freddy Cannon
Straight Flush|The Frantics
Something About You|Level 42
Fox On The Run|Manfred Mann
Happy Heart|Petula Clark
The River Is Wide|The Grass Roots
Vanishing Point|The Marketts
A Part Of You|Brenda & The Tabulations
There Won't Be Anymore|Charlie Rich
Theme From Summer Of '42|Peter Nero
If It Wasn't For Bad Luck|Ray Charles & Jimmy Lewis
Wherever Would I Be|Cheap Trick
It Takes Two|Marvin Gaye & Kim Weston
Queen Of My Soul|Average White Band
Unless You Care|Terry Black
Gotta Lotta Love|Steve Alaimo
Love Of My Life|Gino Vannelli
Love On The Airwaves|Night
Rockin' At Midnight|The Honeydrippers
Somebody Like You|Robbie Nevil
Down By The River|The Brooklyn Bridge
Crying In The Chapel|Adam Wade
If A Man Answers|Bobby Darin
Who Needs Pictures|Brad Paisley
Go Chase A Moonbeam|Jerry Vale
I Love An Angel|Little Bill and The Bluenotes
Full Time Thing (Between Dusk And Dawn)|Whirlwind
Nola|The Morgan Brothers
Some Kind Of Wonderful|The Drifters
Betty My Angel|Jerry Fuller
Nothing But Good|Hank Ballard And The Midnighters
Goodbye Jimmy  Goodbye|Kathy Linden
Dance With Me Georgie|The Bobbettes
Everybody Knows|Steve Lawrence
So In Love|Curtis Mayfield
Hey Love|Stevie Wonder
I'm So Thankful|The Ikettes
Walk On By|Gloria Gaynor
Tulsa|Billy Joe Royal
Vance|Roger Miller
Love In Every Room|Paul Mauriat And His Orchestra
Beaucoups Of Blues|Ringo Starr
Still|The Sunrays
Strangers In A Strange World|Jenny Burton & Patrick Jude
Bad Bad Boys|Midi Maxi & Efti
Come Back To Me|Janet Jackson
Believe In Me|Dan Fogelberg
Sometimes I Miss You So Much (Dedicated To The Christ Consciousness)|P.M. Dawn
Move It To The Rhythm|Technotronic Featuring Ya Kid K
Heighdy-Ho Princess|Neon Philharmonic
Only Love Can Break A Heart|Bobby Vinton
Love Makes A Woman|Barbara Acklin
Gone Too Far|England Dan & John Ford Coley
I Got To Go Back (And Watch That Little Girl Dance)|The McCoys
At The Shore|Johnny Caswell
Hold The Line|Toto
If You Don't Want My Love|Robert John
Love Shack|The B-52s
Pink|Aerosmith
As Long As He Takes Care Of Home|Candi Staton
Ballero|War
(Down At) Papa Joe's|The Dixiebelles
In My Arms|Erasure
Don't Come Running Back To Me|Nancy Wilson
Days Gone By|Poco
La-Di-Da|Sad Cafe
Where Everybody Knows Your Name (The Theme From Cheers)|Gary Portnoy
My Balloon's Going Up|Archie Bell & The Drells
Soldier's Joy|Hawkshaw Hawkins
Hello Walls|Faron Young
Only The Lonely (Have A Reason To Be Sad)|La Flavour
One More Sunrise (Morgen)|Leslie Uggams
Let's Go Steady For The Summer|The Three G's
Let Me Know (I Have A Right)|Gloria Gaynor
Sheena Is A Punk Rocker|The Ramones
To Be Loved (Forever)|The Pentagons
Smoke Gets In Your Eyes|The Platters
Hey Baby (They're Playing Our Song)|The Buckinghams
I Want To Stay Here|Steve & Eydie
It's Not You  It's Not Me|KBC Band
You Can't Deny It|Lisa Stansfield
Sound-Off|Titus Turner
Love Theme From The Godfather (Speak Softly Love)|Andy Williams
Down In The Boondocks|Billy Joe Royal
Turn It Up|Oaktown's 3.5.7
Keep On Singing|Helen Reddy
Nitty Gritty|Ricardo Ray
(I Know) I'm Losing You|The Temptations
What Is Life|George Harrison
The Happening|The Supremes
You've Got The Power|James Brown And The Famous Flames
Rags To Riches|Sunny & The Sunliners
In Another Land|Bill Wyman
Copy Cat|Gary U.S. Bonds
It Ain't No Fun|Shirley Brown
Funny How Time Slips Away|Jimmy Elledge
The Weight|Aretha Franklin
Harlem Shuffle|The Traits
Hey Stoopid|Alice Cooper
Twist  Twist Senora|Gary U.S. Bonds
Say You Love Me|The Impressions
Inside-Looking Out|The Animals
Brown Sugar|The Rolling Stones
Sixteen Reasons|Connie Stevens
To Share Your Love|Fantastic Four
Shangri-La|Vic Dana
Roll Over Beethoven|The Beatles
Please Return Your Love To Me|The Temptations
Wrap It Up|Archie Bell & The Drells
Does Anybody Know I'm Here|The Dells
Forty Miles Of Bad Road|Duane Eddy And The Rebels
Heartbreak Hotel|Roger Miller
Santa Claus Is Coming To Town|The 4 Seasons
Waterfall|Carly Simon
Taos New Mexico|R. Dean Taylor
You Were Wrong|Z.Z. Hill
Milk Cow Blues|Ricky Nelson
Happy|Legacy Of Sound Featuring Meja
Family Affair (From Addams Family Values)|Shabba Ranks Featuring Patra And Terri & Monica
Ain't It  Baby|The Miracles
Down At Lulu's|Ohio Express
Serenata|Sarah Vaughan
The Mosquito|The Doors
Years From Now|Jackie Wilson
Hang On To Your Life|The Guess Who
Black Fox|Freddy Robinson
Since You've Been Gone|Ramsey Lewis
One By One|Blues Magoos
No One Better Than You|Petula Clark
Wiederseh'n|Al Martino
Outside The Gates Of Heaven|Lou Christie
My Love Is A Fire|Donny Osmond
Two Fools|Frankie Avalon
Wish Me A Rainbow|The Gunter Kallmann Chorus
Happiness|The Pointer Sisters
No Sunshine|Kid Frost
Bread And Butter|The Newbeats
My Elusive Dreams|Charlie Rich
Flight '76|The Walter Murphy Band
Don't Run My Life|Spys
Can't We Try|Dan Hill (Duet With Vonda Shepard)
Heart! (I Hear You Beating)|Wayne Newton And The Newton Brothers
I Caught Your Act|The Hues Corporation
Baby It's You|The Beatles
Rockin' With The King|Canned Heat
My Wish Came True|Elvis Presley With The Jordanaires
Tap The Bottle|Young Black Teenagers
A Little Love|Juice Newton
The Globe|Big Audio
I Dreamed Of A Hill-Billy Heaven|Tex Ritter
Adeste Fideles (Oh  Come  All Ye Faithful)|Bing Crosby
Back For A Taste Of Your Love|Syl Johnson
Love Man|Otis Redding
When We Get Married|Larry Graham
